Batting_position ,BATTING,Team,Match,Match Number ,wicket_type,Runs ,Balls ,M,4s,6s,SR
1,Devon Conway,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,b Mohammed Shami,1,6,-,0,0,16.66
2,Ruturaj Gaikwad,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,c Shubman Gill b Joseph,92,50,-,4,9,184
3,Moeen Ali,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,c †Saha b Rashid Khan,23,17,-,4,1,135.29
4,Ben Stokes,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,c †Saha b Rashid Khan,7,6,-,1,0,116.66
5,Ambati Rayudu,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,b Little,12,12,-,0,1,100
6,Shivam Dube,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,c Rashid Khan b Mohammed Shami,19,18,-,0,1,105.55
7,Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,c Shankar b Joseph,1,2,-,0,0,50
8,MS Dhoni (c)†,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,not out,14,7,-,1,1,200
9,Mitchell Santner,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,not out,1,3,-,0,0,33.33
1,Wriddhiman Saha †,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,c Dube b Hangargekar,25,16,-,2,2,156.25
2,Shubman Gill,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,c Gaikwad b Deshpande,63,36,-,6,3,175
3,Sai Sudharsan,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,c †Dhoni b Hangargekar,22,17,-,3,0,129.41
4,Hardik Pandya (c),Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,b Jadeja,8,11,-,0,0,72.72
5,Vijay Shankar,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,c Santner b Hangargekar,27,21,-,2,1,128.57
6,Rahul Tewatia,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,not out,15,14,-,1,1,107.14
7,Rashid Khan,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,not out,10,3,-,1,1,333.33
1,Prabhsimran Singh,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,c †Rahmanullah Gurbaz b Southee,23,12,10,2,2,191.66
2,Shikhar Dhawan (c),Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,b Varun,40,29,75,6,0,137.93
3,Bhanuka Rajapaksa,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,c Singh b Yadav,50,32,47,5,2,156.25
4,Jitesh Sharma †,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,c Yadav b Southee,21,11,13,1,2,190.9
5,Sikandar Raza,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,c Rana b Narine,16,13,22,1,1,123.07
6,Sam Curran,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,not out,26,17,27,0,2,152.94
7,M Shahrukh Khan,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,not out,11,7,11,2,0,157.14
1,Mandeep Singh,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Curran b Arshdeep Singh,2,4,7,0,0,50
2,Rahmanullah Gurbaz †,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,b Ellis,22,16,26,3,1,137.5
3,Anukul Roy,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Sikandar Raza b Arshdeep Singh,4,5,5,1,0,80
4,Venkatesh Iyer,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Chahar b Arshdeep Singh,34,28,66,3,1,121.42
5,Nitish Rana (c),Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Chahar b Sikandar Raza,24,17,23,3,1,141.17
6,Rinku Singh,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Sikandar Raza b Chahar,4,4,5,0,0,100
7,Andre Russell,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Sikandar Raza b Curran,35,19,24,3,2,184.21
8,Shardul Thakur,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,not out,8,3,8,0,1,266.66
9,Sunil Narine,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,not out,7,2,4,0,1,350
1,KL Rahul (c),Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,c Patel b Sakariya,8,12,21,0,1,66.66
2,Kyle Mayers,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,b Patel,73,38,53,2,7,192.1
3,Deepak Hooda,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,c Warner b Kuldeep Yadav,17,18,31,0,0,94.44
4,Krunal Pandya,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,not out,15,13,51,0,1,115.38
5,Marcus Stoinis,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,c †Khan b Ahmed,12,10,13,0,1,120
6,Nicholas Pooran †,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,c Shaw b Ahmed,36,21,24,2,3,171.42
7,Ayush Badoni,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,c †Khan b Sakariya,18,7,10,1,2,257.14
8,Krishnappa Gowtham,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,not out,6,1,2,0,1,600
1,Prithvi Shaw,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,b Wood,12,9,24,2,0,133.33
2,David Warner (c),Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,c Gowtham b Avesh Khan,56,48,87,7,0,116.66
3,Mitchell Marsh,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,b Wood,0,1,2,0,0,0
4,Sarfaraz Khan †,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,c Gowtham b Wood,4,9,16,1,0,44.44
5,Rilee Rossouw,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,c Mayers b Ravi Bishnoi,30,20,24,3,1,150
6,Rovman Powell,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,lbw b Ravi Bishnoi,1,3,11,0,0,33.33
7,Aman Hakim Khan,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,c †Pooran b Avesh Khan,4,5,11,0,0,80
8,Axar Patel,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,c sub (PN Mankad) b Wood,16,11,21,1,1,145.45
9,Kuldeep Yadav,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,not out,6,10,22,0,0,60
10,Chetan Sakariya,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,c Pandya b Wood,4,4,5,1,0,100
11,Mukesh Kumar,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,not out,0,1,1,0,0,0
1,Yashasvi Jaiswal,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,c Agarwal b Fazalhaq Farooqi,54,37,63,9,0,145.94
2,Jos Buttler,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,b Fazalhaq Farooqi,54,22,32,7,3,245.45
3,Sanju Samson (c)†,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,c Abhishek Sharma b Natarajan,55,32,66,3,4,171.87
4,Devdutt Padikkal,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,b Umran Malik,2,5,10,0,0,40
5,Riyan Parag,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,c Fazalhaq Farooqi b Natarajan,7,6,12,1,0,116.66
6,Shimron Hetmyer,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,not out,22,16,21,1,1,137.5
7,Ravichandran Ashwin,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,not out,1,2,9,0,0,50
1,Abhishek Sharma,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,b Boult,0,3,3,0,0,0
2,Mayank Agarwal,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,c Buttler b Chahal,27,23,56,3,0,117.39
3,Rahul Tripathi,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,c Holder b Boult,0,2,6,0,0,0
4,Harry Brook,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,b Chahal,13,21,28,1,0,61.9
5,Washington Sundar,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,c Hetmyer b Holder,1,5,10,0,0,20
6,Glenn Phillips †,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,c Asif b Ashwin,8,6,6,0,1,133.33
7,Abdul Samad,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,not out,32,32,51,2,1,100
8,Adil Rashid,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,st †Samson b Chahal,18,13,17,1,1,138.46
9,Bhuvneshwar Kumar (c),Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,b Chahal,6,10,20,0,0,60
10,Umran Malik,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,not out,19,8,12,1,2,237.5
1,Rohit Sharma (c), Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,c †Karthik b Akash Deep,1,10,30,0,0,10
2,Ishan Kishan †, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,c Patel b Mohammed Siraj,10,13,13,2,0,76.92
3,Cameron Green, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,b Topley,5,4,6,1,0,125
4,Suryakumar Yadav, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,c Shahbaz Ahmed b Bracewell,15,16,35,1,0,93.75
5,Tilak Varma, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,not out,84,46,85,9,4,182.6
6,Nehal Wadhera, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,c Kohli b Sharma,21,13,25,1,2,161.53
7,Tim David, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,b Sharma,4,7,11,0,0,57.14
8,Hrithik Shokeen, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,c du Plessis b Patel,5,3,12,1,0,166.66
9,Arshad Khan, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,not out,15,9,19,0,1,166.66
1,Virat Kohli,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,not out,82,49,75,6,5,167.34
2,Faf du Plessis (c),Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,c David b Arshad Khan,73,43,66,5,6,169.76
3,Dinesh Karthik †,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,c Tilak Varma b Green,0,3,6,0,0,0
4,Glenn Maxwell,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,not out,12,3,5,0,2,400
1,Ruturaj Gaikwad,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,c Wood b Ravi Bishnoi,57,31,55,3,4,183.87
2,Devon Conway,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,c Pandya b Wood,47,29,62,5,2,162.06
3,Shivam Dube,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,c Wood b Ravi Bishnoi,27,16,22,1,3,168.75
4,Moeen Ali,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,st †Pooran b Ravi Bishnoi,19,13,25,3,0,146.15
5,Ben Stokes,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,c Yash Thakur b Avesh Khan,8,8,16,1,0,100
6,Ambati Rayudu,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,not out,27,14,26,2,2,192.85
7,Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,c Ravi Bishnoi b Wood,3,6,13,0,0,50
8,MS Dhoni (c)†,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,c Ravi Bishnoi b Wood,12,3,6,0,2,400
9,Mitchell Santner,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,not out,1,1,2,0,0,100
1,KL Rahul (c),Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,c Gaikwad b Ali,20,18,42,2,0,111.11
2,Kyle Mayers,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,c Conway b Ali,53,22,35,8,2,240.9
3,Deepak Hooda,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,c Stokes b Santner,2,6,6,0,0,33.33
4,Krunal Pandya,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,c Jadeja b Ali,9,9,14,0,1,100
5,Marcus Stoinis,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,b Ali,21,18,26,0,1,116.66
6,Nicholas Pooran †,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,c Stokes b Deshpande,32,18,28,2,3,177.77
7,Ayush Badoni,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,c †Dhoni b Deshpande,23,18,38,0,0,127.77
8,Krishnappa Gowtham,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,not out,17,11,26,0,1,154.54
9,Mark Wood,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,not out,10,3,2,1,1,333.33
1,David Warner (c),Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,b Joseph,37,32,48,7,0,115.62
2,Prithvi Shaw,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,c Joseph b Mohammed Shami,7,5,17,1,0,140
3,Mitchell Marsh,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,b Mohammed Shami,4,4,10,1,0,100
4,Sarfaraz Khan,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,c Little b Rashid Khan,30,34,66,2,0,88.23
5,Rilee Rossouw,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,c Tewatia b Joseph,0,1,4,0,0,0
6,Abishek Porel †,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,b Rashid Khan,20,11,25,0,2,181.81
7,Axar Patel,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,c Miller b Mohammed Shami,36,22,33,2,3,163.63
8,Aman Hakim Khan,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,c Pandya b Rashid Khan,8,8,10,0,1,100
9,Kuldeep Yadav,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,not out,1,1,7,0,0,100
1,Wriddhiman Saha †,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,b Nortje,14,7,9,2,1,200
2,Shubman Gill,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,b Nortje,14,13,19,3,0,107.69
3,Sai Sudharsan,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,not out,62,48,92,4,2,129.16
4,Hardik Pandya (c),Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,c †Abishek Porel b Ahmed,5,4,12,1,0,125
5,Vijay Shankar,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,lbw b Marsh,29,23,40,3,0,126.08
6,David Miller,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,not out,31,16,28,2,2,193.75
1,Prabhsimran Singh,Punjab Kings ,Punjab Kings vs Rajasthan Royals,8,c Buttler b Holder,60,34,49,7,3,176.47
2,Shikhar Dhawan (c),Punjab Kings ,Punjab Kings vs Rajasthan Royals,8,not out,86,56,113,9,3,153.57
3,Bhanuka Rajapaksa,Punjab Kings ,Punjab Kings vs Rajasthan Royals,8,retired hurt,1,1,3,0,0,100
4,Jitesh Sharma †,Punjab Kings ,Punjab Kings vs Rajasthan Royals,8,c Parag b Chahal,27,16,31,2,1,168.75
5,Sikandar Raza,Punjab Kings ,Punjab Kings vs Rajasthan Royals,8,b Ashwin,1,2,2,0,0,50
6,M Shahrukh Khan,Punjab Kings ,Punjab Kings vs Rajasthan Royals,8,c Buttler b Holder,11,10,23,1,0,110
7,Sam Curran,Punjab Kings ,Punjab Kings vs Rajasthan Royals,8,not out,1,2,3,0,0,50
1,Yashasvi Jaiswal,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,8,c sub (MW Short) b Arshdeep Singh,11,8,12,1,1,137.5
2,Ravichandran Ashwin,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,8,c S Dhawan b Arshdeep Singh,0,4,23,0,0,0
3,Jos Buttler,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,8,c & b Ellis,19,11,24,1,1,172.72
4,Sanju Samson (c)†,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,8,c sub (MW Short) b Ellis,42,25,39,5,1,168
5,Devdutt Padikkal,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,8,b Ellis,21,26,47,1,0,80.76
6,Riyan Parag,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,8,c Shahrukh Khan b Ellis,20,12,16,1,2,166.66
7,Shimron Hetmyer,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,8,run out (Shahrukh Khan/Curran),36,18,35,1,3,200
8,Dhruv Jurel,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,8,not out,32,15,32,3,2,213.33
9,Jason Holder,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,8,not out,1,1,4,0,0,100
1,Rahmanullah Gurbaz †,Kolkata Knight Riders ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,c Akash Deep b Sharma,57,44,58,6,3,129.54
2,Venkatesh Iyer,Kolkata Knight Riders ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,b Willey,3,7,18,0,0,42.85
3,Mandeep Singh,Kolkata Knight Riders ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,b Willey,0,1,2,0,0,0
4,Nitish Rana (c),Kolkata Knight Riders ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,c †Karthik b Bracewell,1,5,17,0,0,20
5,Rinku Singh,Kolkata Knight Riders ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,c †Karthik b Patel,46,33,64,2,3,139.39
6,Andre Russell,Kolkata Knight Riders ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,c Kohli b Sharma,0,1,2,0,0,0
7,Shardul Thakur,Kolkata Knight Riders ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,c Maxwell b Mohammed Siraj,68,29,45,9,3,234.48
8,Sunil Narine,Kolkata Knight Riders ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,not out,0,1,6,0,0,0
9,Umesh Yadav,Kolkata Knight Riders ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,not out,6,2,2,1,0,300
1,Virat Kohli,Royal Challengers Bangalore ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,b Narine,21,18,20,3,0,116.66
2,Faf du Plessis (c),Royal Challengers Bangalore ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,b Varun,23,12,24,2,2,191.66
3,Michael Bracewell,Royal Challengers Bangalore ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,c Rana b Thakur,19,18,33,1,1,105.55
4,Glenn Maxwell,Royal Challengers Bangalore ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,b Varun,5,7,9,1,0,71.42
5,Harshal Patel,Royal Challengers Bangalore ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,b Varun,0,2,3,0,0,0
6,Shahbaz Ahmed,Royal Challengers Bangalore ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,c Thakur b Narine,1,5,6,0,0,20
7,Dinesh Karthik †,Royal Challengers Bangalore ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,c Varun b Suyash Sharma,9,8,23,1,0,112.5
8,Anuj Rawat,Royal Challengers Bangalore ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,c Narine b Suyash Sharma,1,5,5,0,0,20
9,David Willey,Royal Challengers Bangalore ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,not out,20,20,28,2,0,100
10,Karn Sharma,Royal Challengers Bangalore ,Kolkata Knight Riders  vs Royal Challengers Bangalore ,9,c Rana b Suyash Sharma,1,3,11,0,0,33.33
1,Anmolpreet Singh †,Sunrisers Hyderabad,Sunrisers Hyderabad vs Lucknow Super Giants ,10,lbw b Pandya,31,26,38,3,1,119.23
2,Mayank Agarwal,Sunrisers Hyderabad,Sunrisers Hyderabad vs Lucknow Super Giants ,10,c Stoinis b Pandya,8,7,14,1,0,114.28
3,Rahul Tripathi,Sunrisers Hyderabad,Sunrisers Hyderabad vs Lucknow Super Giants ,10,c Mishra b Yash Thakur,34,41,65,4,0,82.92
4,Aiden Markram (c),Sunrisers Hyderabad,Sunrisers Hyderabad vs Lucknow Super Giants ,10,b Pandya,0,1,2,0,0,0
5,Harry Brook,Sunrisers Hyderabad,Sunrisers Hyderabad vs Lucknow Super Giants ,10,st †Pooran b Ravi Bishnoi,3,4,5,0,0,75
6,Washington Sundar,Sunrisers Hyderabad,Sunrisers Hyderabad vs Lucknow Super Giants ,10,c Hooda b Mishra,16,28,40,0,0,57.14
7,Abdul Samad,Sunrisers Hyderabad,Sunrisers Hyderabad vs Lucknow Super Giants ,10,not out,21,10,11,1,2,210
8,Adil Rashid,Sunrisers Hyderabad,Sunrisers Hyderabad vs Lucknow Super Giants ,10,c Hooda b Mishra,4,3,3,1,0,133.33
9,Umran Malik,Sunrisers Hyderabad,Sunrisers Hyderabad vs Lucknow Super Giants ,10,run out (Hooda/Unadkat),0,0,1,0,0,-
10,Bhuvneshwar Kumar,Sunrisers Hyderabad,Sunrisers Hyderabad vs Lucknow Super Giants ,10,not out,0,0,4,0,0,-
1,Kyle Mayers,Lucknow Super Giants ,Sunrisers Hyderabad vs Lucknow Super Giants ,10,c Agarwal b Fazalhaq Farooqi,13,14,22,2,0,92.85
2,KL Rahul (c),Lucknow Super Giants ,Sunrisers Hyderabad vs Lucknow Super Giants ,10,lbw b Rashid,35,31,74,4,0,112.9
3,Deepak Hooda,Lucknow Super Giants ,Sunrisers Hyderabad vs Lucknow Super Giants ,10,c & b Kumar,7,8,10,0,1,87.5
4,Krunal Pandya,Lucknow Super Giants ,Sunrisers Hyderabad vs Lucknow Super Giants ,10,c †Anmolpreet Singh b Umran Malik,34,23,33,4,1,147.82
5,Marcus Stoinis,Lucknow Super Giants ,Sunrisers Hyderabad vs Lucknow Super Giants ,10,not out,10,13,22,2,0,76.92
6,Romario Shepherd,Lucknow Super Giants ,Sunrisers Hyderabad vs Lucknow Super Giants ,10,lbw b Rashid,0,1,3,0,0,0
7,Nicholas Pooran †,Lucknow Super Giants ,Sunrisers Hyderabad vs Lucknow Super Giants ,10,not out,11,6,7,1,1,183.33
1,Yashasvi Jaiswal,Rajasthan Royals,Rajasthan Royals vs Delhi Capitals ,11,c & b Mukesh Kumar,60,31,47,11,1,193.54
2,Jos Buttler,Rajasthan Royals,Rajasthan Royals vs Delhi Capitals ,11,c & b Mukesh Kumar,79,51,94,11,1,154.9
3,Sanju Samson (c)†,Rajasthan Royals,Rajasthan Royals vs Delhi Capitals ,11,c Nortje b Kuldeep Yadav,0,4,7,0,0,0
4,Riyan Parag,Rajasthan Royals,Rajasthan Royals vs Delhi Capitals ,11,b Powell,7,11,16,0,0,63.63
5,Shimron Hetmyer,Rajasthan Royals,Rajasthan Royals vs Delhi Capitals ,11,not out,39,21,32,1,4,185.71
6,Dhruv Jurel,Rajasthan Royals,Rajasthan Royals vs Delhi Capitals ,11,not out,8,3,7,0,1,266.66
1,Prithvi Shaw,Delhi Capitals ,Rajasthan Royals vs Delhi Capitals ,11,c †Samson b Boult,0,3,4,0,0,0
2,David Warner (c),Delhi Capitals ,Rajasthan Royals vs Delhi Capitals ,11,lbw b Chahal,65,55,102,7,0,118.18
3,Manish Pandey,Delhi Capitals ,Rajasthan Royals vs Delhi Capitals ,11,lbw b Boult,0,1,3,0,0,0
4,Rilee Rossouw,Delhi Capitals ,Rajasthan Royals vs Delhi Capitals ,11,c Jaiswal b R Ashwin,14,12,24,2,0,116.66
5,Lalit Yadav,Delhi Capitals ,Rajasthan Royals vs Delhi Capitals ,11,b Boult,38,24,35,5,0,158.33
6,Axar Patel,Delhi Capitals ,Rajasthan Royals vs Delhi Capitals ,11,st †Samson b Chahal,2,6,12,0,0,33.33
7,Rovman Powell,Delhi Capitals ,Rajasthan Royals vs Delhi Capitals ,11,c Hetmyer b R Ashwin,2,2,6,0,0,100
8,Abishek Porel †,Delhi Capitals ,Rajasthan Royals vs Delhi Capitals ,11,c Hetmyer b Chahal,7,9,18,1,0,77.77
9,Kuldeep Yadav,Delhi Capitals ,Rajasthan Royals vs Delhi Capitals ,11,not out,3,7,9,0,0,42.85
10,Anrich Nortje,Delhi Capitals ,Rajasthan Royals vs Delhi Capitals ,11,b Sandeep Sharma,0,1,3,0,0,0
11,Mukesh Kumar,Delhi Capitals ,Rajasthan Royals vs Delhi Capitals ,11,not out,1,1,3,0,0,100
1,Rohit Sharma (c),Mumbai Indians ,Mumbai Indians  vs Chennai Super Kings ,12,b Deshpande,21,13,22,3,1,161.53
2,Ishan Kishan †,Mumbai Indians ,Mumbai Indians  vs Chennai Super Kings ,12,c Pretorius b Jadeja,32,21,36,5,0,152.38
3,Cameron Green,Mumbai Indians ,Mumbai Indians  vs Chennai Super Kings ,12,c & b Jadeja,12,11,23,1,0,109.09
4,Suryakumar Yadav,Mumbai Indians ,Mumbai Indians  vs Chennai Super Kings ,12,c †Dhoni b Santner,1,2,6,0,0,50
5,Tilak Varma,Mumbai Indians ,Mumbai Indians  vs Chennai Super Kings ,12,lbw b Jadeja,22,18,26,2,1,122.22
6,Arshad Khan,Mumbai Indians ,Mumbai Indians  vs Chennai Super Kings ,12,lbw b Santner,2,4,4,0,0,50
7,Tim David,Mumbai Indians ,Mumbai Indians  vs Chennai Super Kings ,12,c Rahane b Deshpande,31,22,35,1,2,140.9
8,Tristan Stubbs,Mumbai Indians ,Mumbai Indians  vs Chennai Super Kings ,12,c Gaikwad b Magala,5,10,13,0,0,50
9,Hrithik Shokeen,Mumbai Indians ,Mumbai Indians  vs Chennai Super Kings ,12,not out,18,13,20,3,0,138.46
10,Piyush Chawla,Mumbai Indians ,Mumbai Indians  vs Chennai Super Kings ,12,not out,5,6,15,0,0,83.33
1,Devon Conway,Chennai Super Kings ,Mumbai Indians  vs Chennai Super Kings ,12,b Behrendorff,0,4,4,0,0,0
2,Ruturaj Gaikwad,Chennai Super Kings ,Mumbai Indians  vs Chennai Super Kings ,12,not out,40,36,80,2,1,111.11
3,Ajinkya Rahane,Chennai Super Kings ,Mumbai Indians  vs Chennai Super Kings ,12,c Yadav b Chawla,61,27,33,7,3,225.92
4,Shivam Dube,Chennai Super Kings ,Mumbai Indians  vs Chennai Super Kings ,12,b Kartikeya,28,26,28,2,1,107.69
5,Ambati Rayudu,Chennai Super Kings ,Mumbai Indians  vs Chennai Super Kings ,12,not out,20,16,16,3,0,125
1,Wriddhiman Saha †,Gujarat Titans,Gujarat Titans vs Kolkata Knight Riders,13,c Jagadeesan b Narine,17,17,24,3,0,100
2,Shubman Gill,Gujarat Titans,Gujarat Titans vs Kolkata Knight Riders,13,c Yadav b Narine,39,31,55,5,0,125.8
