BOWLING,Team,Match ,Match_Number,O,M,R,W,ECON,0s,4s,6s,WD,NB,BOWLING.1
Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders vs Chennai Super Kings ,33,1,0,17,0,17,0,1,1,2,0,
Akash Singh,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,33,4,0,29,1,7.25,13,4,1,1,0,
Tushar Deshpande,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,33,4,0,43,2,10.75,12,3,3,4,0,
Maheesh Theekshana,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,33,4,0,32,2,8,8,3,1,1,0,
Moeen Ali,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,33,1,0,20,1,20,1,0,3,0,0,
Ravindra Jadeja,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,33,3,0,34,1,11.33,5,2,3,0,0,
Matheesha Pathirana,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,33,4,0,27,1,6.75,11,2,1,3,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Delhi Capitals ,34,4,0,11,2,2.75,16,1,0,0,0,
Marco Jansen,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Delhi Capitals ,34,2,0,27,0,13.5,4,4,1,0,0,
Washington Sundar,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Delhi Capitals ,34,4,0,28,3,7,10,2,1,0,0,
T Natarajan,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Delhi Capitals ,34,3,0,21,1,7,3,2,0,0,0,
Mayank Markande,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Delhi Capitals ,34,4,0,34,0,8.5,7,4,0,1,0,
Umran Malik,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Delhi Capitals ,34,2,0,14,0,7,4,2,0,0,0,
Aiden Markram,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Delhi Capitals ,34,1,0,7,0,7,0,0,0,0,0,
Ishant Sharma,Delhi Capitals ,Sunrisers Hyderabad vs Delhi Capitals ,34,3,0,18,1,6,8,2,0,0,0,
Anrich Nortje,Delhi Capitals ,Sunrisers Hyderabad vs Delhi Capitals ,34,4,0,33,2,8.25,10,4,1,0,0,
Mukesh Kumar,Delhi Capitals ,Sunrisers Hyderabad vs Delhi Capitals ,34,3,0,27,0,9,4,4,0,0,0,
Axar Patel,Delhi Capitals ,Sunrisers Hyderabad vs Delhi Capitals ,34,4,0,21,2,5.25,8,1,0,0,0,
Kuldeep Yadav,Delhi Capitals ,Sunrisers Hyderabad vs Delhi Capitals ,34,4,0,22,1,5.5,6,1,0,0,0,
Mitchell Marsh,Delhi Capitals ,Sunrisers Hyderabad vs Delhi Capitals ,34,2,0,16,0,8,3,1,0,0,1,
Arjun Tendulkar,Mumbai Indians ,Mumbai Indians vs Gujarat Titans,35,2,0,9,1,4.5,7,0,0,0,0,
Jason Behrendorff,Mumbai Indians ,Mumbai Indians vs Gujarat Titans,35,4,0,37,1,9.25,8,2,2,2,0,
Riley Meredith,Mumbai Indians ,Mumbai Indians vs Gujarat Titans,35,4,0,49,1,12.25,6,4,3,2,0,
Cameron Green,Mumbai Indians ,Mumbai Indians vs Gujarat Titans,35,2,0,39,0,19.5,0,2,4,0,0,
Piyush Chawla,Mumbai Indians ,Mumbai Indians vs Gujarat Titans,35,4,0,34,2,8.5,7,3,1,1,0,
Kumar Kartikeya,Mumbai Indians ,Mumbai Indians vs Gujarat Titans,35,4,0,39,1,9.75,7,3,2,0,0,
Mohammed Shami,Gujarat Titans,Mumbai Indians vs Gujarat Titans,35,4,0,18,0,4.5,14,2,0,1,0,
Hardik Pandya,Gujarat Titans,Mumbai Indians vs Gujarat Titans,35,2,0,10,1,5,8,0,1,0,0,
Rashid Khan,Gujarat Titans,Mumbai Indians vs Gujarat Titans,35,4,0,27,2,6.75,10,2,1,0,0,
Noor Ahmad,Gujarat Titans,Mumbai Indians vs Gujarat Titans,35,4,0,37,3,9.25,10,2,3,0,0,
Mohit Sharma,Gujarat Titans,Mumbai Indians vs Gujarat Titans,35,4,0,38,2,9.5,7,1,3,0,0,
Josh Little,Gujarat Titans,Mumbai Indians vs Gujarat Titans,35,2,0,18,0,9,2,1,1,0,0,
Mohammed Siraj,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,36,4,0,33,1,8.25,11,5,1,0,0,
David Willey,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,36,3,0,31,0,10.33,5,4,1,1,0,
Wanindu Hasaranga,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,36,4,0,24,2,6,10,3,0,0,0,
Shahbaz Ahmed,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,36,1,0,25,0,25,1,0,4,0,0,
Vijaykumar Vyshak,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,36,4,0,41,2,10.25,3,2,2,3,0,
Harshal Patel,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,36,4,0,44,0,11,7,2,4,1,0,
Vaibhav Arora,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,36,2,0,22,0,11,3,3,0,1,0,
Umesh Yadav,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,36,1,0,19,0,19,0,1,2,0,0,
Suyash Sharma,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,36,4,0,30,2,7.5,5,3,0,1,0,
Varun Chakravarthy,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,36,4,0,27,3,6.75,9,2,1,0,0,
Andre Russell,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,36,4,0,29,2,7.25,11,1,2,0,0,
Sunil Narine,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,36,4,0,41,0,10.25,2,1,2,0,0,
Nitish Rana,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,36,1,0,8,0,8,1,1,0,0,0,
Akash Singh,Chennai Super Kings ,Chennai Super Kings vs Rajasthan Royals,37,2,0,32,0,16,3,6,1,0,0,
Tushar Deshpande,Chennai Super Kings ,Chennai Super Kings vs Rajasthan Royals,37,4,0,42,2,10.5,10,5,2,0,0,
Maheesh Theekshana,Chennai Super Kings ,Chennai Super Kings vs Rajasthan Royals,37,4,0,24,1,6,11,3,0,1,0,
Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings vs Rajasthan Royals,37,4,0,32,1,8,6,2,1,1,0,
Moeen Ali,Chennai Super Kings ,Chennai Super Kings vs Rajasthan Royals,37,2,0,17,0,8.5,2,0,1,0,0,
Matheesha Pathirana,Chennai Super Kings ,Chennai Super Kings vs Rajasthan Royals,37,4,0,48,0,12,5,5,1,2,0,
Sandeep Sharma,Rajasthan Royals,Chennai Super Kings vs Rajasthan Royals,37,4,0,24,0,6,10,3,0,0,0,
Kuldip Yadav,Rajasthan Royals,Chennai Super Kings vs Rajasthan Royals,37,3,0,18,1,6,4,1,0,0,0,
Jason Holder,Rajasthan Royals,Chennai Super Kings vs Rajasthan Royals,37,4,0,49,0,12.25,4,4,3,1,0,
Ravichandran Ashwin,Rajasthan Royals,Chennai Super Kings vs Rajasthan Royals,37,4,0,35,2,8.75,7,1,2,0,0,
Adam Zampa,Rajasthan Royals,Chennai Super Kings vs Rajasthan Royals,37,3,0,22,3,7.33,7,2,1,0,0,
Yuzvendra Chahal,Rajasthan Royals,Chennai Super Kings vs Rajasthan Royals,37,2,0,21,0,10.5,3,2,1,0,0,
Gurnoor Brar,Punjab Kings ,Punjab Kings vs Lucknow Super Giants ,38,3,0,42,0,14,7,4,3,1,2,
Arshdeep Singh,Punjab Kings ,Punjab Kings vs Lucknow Super Giants ,38,4,0,54,1,13.5,4,10,0,2,0,
Kagiso Rabada,Punjab Kings ,Punjab Kings vs Lucknow Super Giants ,38,4,0,52,2,13,12,3,5,2,2,
Sikandar Raza,Punjab Kings ,Punjab Kings vs Lucknow Super Giants ,38,1,0,17,0,17,2,1,2,0,0,
Rahul Chahar,Punjab Kings ,Punjab Kings vs Lucknow Super Giants ,38,4,0,29,0,7.25,8,2,1,0,0,
Sam Curran,Punjab Kings ,Punjab Kings vs Lucknow Super Giants ,38,3,0,38,1,12.66,5,4,2,0,0,
Liam Livingstone,Punjab Kings ,Punjab Kings vs Lucknow Super Giants ,38,1,0,19,1,19,1,3,1,0,0,
Marcus Stoinis,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants ,38,1.5,0,21,1,11.45,5,2,1,4,0,
Kyle Mayers,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants ,38,1,0,4,0,4,5,1,0,0,0,
Ayush Badoni,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants ,38,0.1,0,0,0,0,1,0,0,0,0,
Naveen-ul-Haq,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants ,38,4,0,30,3,7.5,11,2,0,1,1,
Avesh Khan,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants ,38,2,0,28,0,14,1,3,1,0,0,
Amit Mishra,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants ,38,2,0,23,0,11.5,1,2,1,0,0,
Ravi Bishnoi,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants ,38,4,0,41,2,10.25,9,4,2,0,1,
Yash Thakur,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants ,38,3.5,0,37,4,9.65,9,3,2,1,0,
Krunal Pandya,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants ,38,1,0,13,0,13,2,1,1,1,0,
Mohammed Shami,Gujarat Titans,Gujarat Titans vs Kolkata Knight Riders,39,4,0,33,3,8.25,12,3,2,0,0,
Hardik Pandya,Gujarat Titans,Gujarat Titans vs Kolkata Knight Riders,39,3,0,34,0,11.33,9,3,3,1,0,
Rashid Khan,Gujarat Titans,Gujarat Titans vs Kolkata Knight Riders,39,4,0,54,0,13.5,3,3,4,1,0,
Josh Little,Gujarat Titans,Gujarat Titans vs Kolkata Knight Riders,39,4,0,25,2,6.25,12,2,1,0,0,
Noor Ahmad,Gujarat Titans,Gujarat Titans vs Kolkata Knight Riders,39,4,0,21,2,5.25,12,1,1,1,0,
Mohit Sharma,Gujarat Titans,Gujarat Titans vs Kolkata Knight Riders,39,1,0,12,0,12,1,0,1,0,0,
Harshit Rana,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,39,3,0,25,1,8.33,6,4,0,1,0,
Andre Russell,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,39,3,0,29,1,9.66,6,3,1,1,0,
Varun Chakravarthy,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,39,4,0,42,0,10.5,7,3,3,0,0,
Suyash Sharma,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,39,4,0,37,0,9.25,7,3,2,0,0,
Sunil Narine,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,39,3,0,24,1,8,3,1,1,0,0,
Nitish Rana,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,39,0.5,0,14,0,16.8,0,1,1,1,0,
Ishant Sharma,Delhi Capitals ,Delhi Capitals vs Sunrisers Hyderabad ,40,3,0,31,1,10.33,9,7,0,0,0,
Anrich Nortje,Delhi Capitals ,Delhi Capitals vs Sunrisers Hyderabad ,40,4,0,44,0,11,4,4,1,2,0,
Mukesh Kumar,Delhi Capitals ,Delhi Capitals vs Sunrisers Hyderabad ,40,2,0,38,0,19,2,4,2,2,1,
Mitchell Marsh,Delhi Capitals ,Delhi Capitals vs Sunrisers Hyderabad ,40,4,1,27,4,6.75,12,1,2,2,0,
Kuldeep Yadav,Delhi Capitals ,Delhi Capitals vs Sunrisers Hyderabad ,40,3,0,27,0,9,4,1,2,0,0,
Axar Patel,Delhi Capitals ,Delhi Capitals vs Sunrisers Hyderabad ,40,4,0,29,1,7.25,7,0,2,2,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Delhi Capitals vs Sunrisers Hyderabad ,40,4,0,45,1,11.25,5,3,2,3,0,
Akeal Hosein,Sunrisers Hyderabad ,Delhi Capitals vs Sunrisers Hyderabad ,40,4,0,40,1,10,6,4,2,0,0,
T Natarajan,Sunrisers Hyderabad ,Delhi Capitals vs Sunrisers Hyderabad ,40,4,0,34,1,8.5,4,2,1,0,0,
Umran Malik,Sunrisers Hyderabad ,Delhi Capitals vs Sunrisers Hyderabad ,40,1,0,22,0,22,0,2,2,0,0,
Mayank Markande,Sunrisers Hyderabad ,Delhi Capitals vs Sunrisers Hyderabad ,40,4,0,20,2,5,7,1,0,0,0,
Abhishek Sharma,Sunrisers Hyderabad ,Delhi Capitals vs Sunrisers Hyderabad ,40,3,0,26,1,8.66,5,2,1,0,0,
Arshdeep Singh,Punjab Kings ,Punjab Kings vs Chennai Super Kings ,41,4,0,37,1,9.25,8,5,0,3,0,
Kagiso Rabada,Punjab Kings ,Punjab Kings vs Chennai Super Kings ,41,4,0,34,0,8.5,8,4,1,1,0,
Sam Curran,Punjab Kings ,Punjab Kings vs Chennai Super Kings ,41,4,0,46,1,11.5,7,5,2,3,0,
Rahul Chahar,Punjab Kings ,Punjab Kings vs Chennai Super Kings ,41,4,0,35,1,8.75,7,2,2,0,0,
Sikandar Raza,Punjab Kings ,Punjab Kings vs Chennai Super Kings ,41,3,0,31,1,10.33,6,4,1,0,0,
Liam Livingstone,Punjab Kings ,Punjab Kings vs Chennai Super Kings ,41,1,0,16,0,16,0,3,0,0,0,
Akash Singh,Chennai Super Kings ,Punjab Kings vs Chennai Super Kings ,41,3,0,35,0,11.66,4,3,2,1,0,
Tushar Deshpande,Chennai Super Kings ,Punjab Kings vs Chennai Super Kings ,41,4,0,49,3,12.25,10,3,4,2,0,
Maheesh Theekshana,Chennai Super Kings ,Punjab Kings vs Chennai Super Kings ,41,4,0,36,0,9,5,4,0,1,0,
Ravindra Jadeja,Chennai Super Kings ,Punjab Kings vs Chennai Super Kings ,41,4,0,32,2,8,8,1,2,0,0,
Moeen Ali,Chennai Super Kings ,Punjab Kings vs Chennai Super Kings ,41,1,0,10,0,10,2,0,1,0,0,
Matheesha Pathirana,Chennai Super Kings ,Punjab Kings vs Chennai Super Kings ,41,4,0,32,1,8,6,2,0,1,0,
Cameron Green,Mumbai Indians ,Mumbai Indians vs Rajasthan Royals,42,3,0,31,0,10.33,10,2,2,4,0,
Jofra Archer,Mumbai Indians ,Mumbai Indians vs Rajasthan Royals,42,4,0,35,1,8.75,16,2,3,3,1,
Riley Meredith,Mumbai Indians ,Mumbai Indians vs Rajasthan Royals,42,4,0,51,1,12.75,7,9,1,2,0,
Piyush Chawla,Mumbai Indians ,Mumbai Indians vs Rajasthan Royals,42,4,0,34,2,8.5,11,2,3,0,0,
Kumar Kartikeya,Mumbai Indians ,Mumbai Indians vs Rajasthan Royals,42,2,0,14,0,7,6,1,1,0,0,
Arshad Khan,Mumbai Indians ,Mumbai Indians vs Rajasthan Royals,42,3,0,39,3,13,5,4,2,3,0,
Trent Boult,Rajasthan Royals,Mumbai Indians vs Rajasthan Royals,42,4,0,43,1,10.75,8,7,0,2,0,
Sandeep Sharma,Rajasthan Royals,Mumbai Indians vs Rajasthan Royals,42,4,0,35,1,8.75,5,3,1,2,0,
Ravichandran Ashwin,Rajasthan Royals,Mumbai Indians vs Rajasthan Royals,42,4,0,27,2,6.75,8,0,2,1,0,
Yuzvendra Chahal,Rajasthan Royals,Mumbai Indians vs Rajasthan Royals,42,3,0,32,0,10.66,5,3,2,0,0,
Jason Holder,Rajasthan Royals,Mumbai Indians vs Rajasthan Royals,42,3.3,0,55,0,15.71,4,5,4,2,0,
Kuldeep Sen,Rajasthan Royals,Mumbai Indians vs Rajasthan Royals,42,1,0,20,0,20,2,3,1,0,1,
Krunal Pandya,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,43,4,0,21,0,5.25,8,1,0,0,0,
Marcus Stoinis,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,43,1,0,11,0,11,0,1,0,0,0,
Naveen-ul-Haq,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,43,4,0,30,3,7.5,8,3,1,0,0,
Ravi Bishnoi,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,43,4,0,21,2,5.25,7,0,0,0,0,
Amit Mishra,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,43,3,0,21,2,7,4,0,1,0,0,
Yash Thakur,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,43,2,0,12,0,6,6,1,0,2,0,
Krishnappa Gowtham,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,43,2,0,10,1,5,5,0,0,0,0,
Mohammed Siraj,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,43,3,0,24,1,8,11,4,0,3,1,
Josh Hazlewood,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,43,3,0,15,2,5,13,1,1,0,1,
Glenn Maxwell,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,43,1,0,3,1,3,3,0,0,0,0,
Wanindu Hasaranga,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,43,4,0,20,1,5,14,0,2,0,0,
Karn Sharma,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,43,4,0,20,2,5,12,1,1,0,0,
Harshal Patel,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,43,3.5,0,20,1,5.21,9,2,0,0,0,
Mahipal Lomror,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,43,1,0,4,0,4,2,0,0,0,0,
Mohammed Shami,Gujarat Titans,Gujarat Titans vs Delhi Capitals ,44,4,0,11,4,2.75,19,1,0,0,0,
Hardik Pandya,Gujarat Titans,Gujarat Titans vs Delhi Capitals ,44,1,0,10,0,10,3,2,0,0,1,
Josh Little,Gujarat Titans,Gujarat Titans vs Delhi Capitals ,44,3,0,27,0,9,6,4,0,0,0,
Rashid Khan,Gujarat Titans,Gujarat Titans vs Delhi Capitals ,44,4,0,28,1,7,12,0,3,1,0,
Noor Ahmad,Gujarat Titans,Gujarat Titans vs Delhi Capitals ,44,4,0,20,0,5,11,1,0,2,0,
Mohit Sharma,Gujarat Titans,Gujarat Titans vs Delhi Capitals ,44,4,0,33,2,8.25,7,1,2,0,0,
Khaleel Ahmed,Delhi Capitals ,Gujarat Titans vs Delhi Capitals ,44,4,1,24,2,6,12,4,0,0,0,
Ishant Sharma,Delhi Capitals ,Gujarat Titans vs Delhi Capitals ,44,4,0,23,2,5.75,12,2,0,1,0,
Anrich Nortje,Delhi Capitals ,Gujarat Titans vs Delhi Capitals ,44,4,0,39,1,9.75,11,2,3,2,0,
Kuldeep Yadav,Delhi Capitals ,Gujarat Titans vs Delhi Capitals ,44,4,0,15,1,3.75,9,0,0,0,0,
Axar Patel,Delhi Capitals ,Gujarat Titans vs Delhi Capitals ,44,4,0,24,0,6,10,1,1,1,0,
Deepak Chahar,Chennai Super Kings ,Chennai Super Kings  vs Lucknow Super Giants ,45,4,0,41,0,10.25,9,4,2,0,0,
Tushar Deshpande,Chennai Super Kings ,Chennai Super Kings  vs Lucknow Super Giants ,45,1,0,1,0,1,5,0,0,0,0,
Moeen Ali,Chennai Super Kings ,Chennai Super Kings  vs Lucknow Super Giants ,45,4,0,13,2,3.25,11,0,0,0,0,
Maheesh Theekshana,Chennai Super Kings ,Chennai Super Kings  vs Lucknow Super Giants ,45,4,0,37,2,9.25,7,2,2,0,0,
Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings  vs Lucknow Super Giants ,45,3,0,11,1,3.66,8,0,0,0,0,
Matheesha Pathirana,Chennai Super Kings ,Chennai Super Kings  vs Lucknow Super Giants ,45,3.2,0,22,2,6.6,6,0,0,2,0,
Cameron Green,Mumbai Indians ,Mumbai Indians vs Punjab Kings ,46,2,0,15,0,7.5,7,2,0,0,0,
Arshad Khan,Mumbai Indians ,Mumbai Indians vs Punjab Kings ,46,4,0,48,1,12,9,7,2,1,0,
Jofra Archer,Mumbai Indians ,Mumbai Indians vs Punjab Kings ,46,4,0,56,0,14,4,4,3,2,1,
Piyush Chawla,Mumbai Indians ,Mumbai Indians vs Punjab Kings ,46,4,0,29,2,7.25,7,4,0,0,0,
Kumar Kartikeya,Mumbai Indians ,Mumbai Indians vs Punjab Kings ,46,3,0,24,0,8,3,0,1,3,0,
Akash Madhwal,Mumbai Indians ,Mumbai Indians vs Punjab Kings ,46,3,0,37,0,12.33,1,3,1,0,1,
Rishi Dhawan,Punjab Kings ,Mumbai Indians vs Punjab Kings ,46,3,0,20,1,6.66,11,1,2,0,0,
Arshdeep Singh,Punjab Kings ,Mumbai Indians vs Punjab Kings ,46,3.5,0,66,1,17.21,4,8,4,2,0,
Sam Curran,Punjab Kings ,Mumbai Indians vs Punjab Kings ,46,3,0,41,0,13.66,3,5,2,1,0,
Nathan Ellis,Punjab Kings ,Mumbai Indians vs Punjab Kings ,46,4,0,34,2,8.5,4,3,0,0,0,
Rahul Chahar,Punjab Kings ,Mumbai Indians vs Punjab Kings ,46,3,0,30,0,10,5,5,0,0,0,
Harpreet Brar,Punjab Kings ,Mumbai Indians vs Punjab Kings ,46,2,0,21,0,10.5,1,1,1,0,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,47,4,0,33,1,8.25,12,6,0,1,0,
Marco Jansen,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,47,3,0,24,2,8,7,3,0,0,1,
Kartik Tyagi,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,47,2,0,30,1,15,5,3,2,2,1,
Aiden Markram,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,47,3,0,24,1,8,5,2,1,0,0,
T Natarajan,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,47,4,0,30,2,7.5,9,1,1,2,0,
Mayank Markande,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,47,4,0,29,1,7.25,8,1,2,0,0,
Harshit Rana,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,47,4,0,27,1,6.75,13,1,2,2,0,
Vaibhav Arora,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,47,3,0,32,2,10.66,6,5,0,1,2,
Shardul Thakur,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,47,3,0,23,2,7.66,6,3,0,0,0,
Andre Russell,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,47,1,0,15,1,15,4,2,1,0,1,
Anukul Roy,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,47,3,0,26,1,8.66,6,1,2,1,0,
Sunil Narine,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,47,2,0,16,0,8,1,1,0,0,0,
Varun Chakravarthy,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,47,4,0,20,1,5,12,2,0,0,0,
Mohammed Shami,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,48,4,0,27,1,6.75,13,2,1,2,0,
Hardik Pandya,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,48,2,0,22,1,11,4,3,1,0,0,
Rashid Khan,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,48,4,0,14,3,3.5,13,0,0,2,0,
Josh Little,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,48,4,0,24,1,6,7,2,0,0,0,
Noor Ahmad,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,48,3,0,25,2,8.33,7,2,1,3,0,
Mohit Sharma,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,48,0.5,0,5,0,6,0,0,0,0,0,
Trent Boult,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,48,3,0,28,0,9.33,8,6,0,0,0,
Sandeep Sharma,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,48,3,0,19,0,6.33,9,3,0,0,1,
Adam Zampa,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,48,3,0,40,0,13.33,3,3,3,0,0,
Yuzvendra Chahal,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,48,3.5,0,22,1,5.73,7,1,0,0,0,
Ravichandran Ashwin,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,48,1,0,8,0,8,1,1,0,0,0,
Deepak Chahar,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,49,3,0,18,2,6,10,3,0,0,0,
Tushar Deshpande,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,49,4,0,26,2,6.5,9,2,0,1,0,
Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,49,4,0,37,1,9.25,5,5,0,1,0,
Moeen Ali,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,49,1,0,10,0,10,2,2,0,0,0,
Maheesh Theekshana,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,49,4,0,28,0,7,11,3,1,0,0,
Matheesha Pathirana,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,49,4,0,15,3,3.75,12,0,0,0,0,
Cameron Green,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,49,1,0,10,0,10,4,2,0,1,1,
Jofra Archer,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,49,4,0,24,0,6,11,3,0,1,0,
Arshad Khan,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,49,1.4,0,28,0,16.8,3,2,3,0,0,
Piyush Chawla,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,49,4,0,25,2,6.25,8,1,1,0,0,
Raghav Goyal,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,49,4,0,33,0,8.25,7,1,2,0,0,
Tristan Stubbs,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,49,2,0,14,1,7,3,0,1,0,0,
Akash Madhwal,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,49,1,0,4,1,4,2,0,0,0,0,
Khaleel Ahmed,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,50,4,0,45,1,11.25,7,3,3,1,0,
Axar Patel,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,50,3,0,17,0,5.66,7,2,0,0,0,
Ishant Sharma,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,50,3,0,29,0,9.66,5,4,0,2,0,
Mukesh Kumar,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,50,3,0,30,1,10,6,5,0,1,0,
Mitchell Marsh,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,50,3,0,21,2,7,3,0,1,1,0,
Kuldeep Yadav,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,50,4,0,37,0,9.25,5,2,2,0,0,
Mohammed Siraj,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,50,2,0,28,0,14,4,3,2,1,0,
Glenn Maxwell,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,50,1.4,0,14,0,8.4,4,1,1,0,0,
