BOWLING,Team,Match ,Match_Number,O,M,R,W,ECON,0s,4s,6s,WD,NB,BOWLING.1
Axar Patel,Delhi Capitals ,Delhi Capitals vs Rajasthan Royals,11,4,0,38,0,9.5,6,5,1,0,0,Raghav Goyal
Kuldeep Yadav,Delhi Capitals ,Delhi Capitals vs Rajasthan Royals,11,4,0,31,1,7.75,8,2,1,0,0,Tristan Stubbs
Rovman Powell,Delhi Capitals ,Delhi Capitals vs Rajasthan Royals,11,2,0,18,1,9,4,1,1,1,1,Mohsin Khan
Trent Boult,Rajasthan Royals,Delhi Capitals vs Rajasthan Royals,11,4,1,29,3,7.25,11,5,0,0,0,Swapnil Singh
Sandeep Sharma,Rajasthan Royals,Delhi Capitals vs Rajasthan Royals,11,4,0,20,1,5,11,2,0,1,0,Vivrant Sharma
Ravichandran Ashwin,Rajasthan Royals,Delhi Capitals vs Rajasthan Royals,11,4,0,25,2,6.25,10,2,0,3,0,Obed McCoy
Jason Holder,Rajasthan Royals,Delhi Capitals vs Rajasthan Royals,11,3,0,28,0,9.33,4,4,0,1,0,Chris Jordan
Yuzvendra Chahal,Rajasthan Royals,Delhi Capitals vs Rajasthan Royals,11,4,0,27,3,6.75,8,2,0,2,0,Joe Root
Murugan Ashwin,Rajasthan Royals,Delhi Capitals vs Rajasthan Royals,11,1,0,11,0,11,0,0,0,0,1,Glenn Phillips
Deepak Chahar,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,12,1,0,10,0,10,2,2,0,0,0,Praveen Dubey
Tushar Deshpande,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,12,3,0,31,2,10.33,9,2,3,1,0,Nitish Kumar Reddy
Sisanda Magala,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,12,4,0,37,1,9.25,4,5,0,0,0,Himanshu Sharma
Mitchell Santner,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,12,4,0,28,2,7,6,3,0,0,0,
Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,12,4,0,20,3,5,9,0,1,0,0,
Dwaine Pretorius,Chennai Super Kings ,Chennai Super Kings vs Mumbai Indians ,12,4,0,28,0,7,9,3,0,4,0,
Jason Behrendorff,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,12,3,0,24,1,8,9,2,1,1,0,
Arshad Khan,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,12,2.1,0,35,0,16.15,2,5,1,3,0,
Cameron Green,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,12,3,0,20,0,6.66,6,0,1,1,0,
Piyush Chawla,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,12,4,0,33,1,8.25,8,5,0,0,0,
Kumar Kartikeya,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,12,4,0,24,1,6,6,0,1,0,0,
Hrithik Shokeen,Mumbai Indians ,Chennai Super Kings vs Mumbai Indians ,12,2,0,19,0,9.5,4,2,1,0,0,
Umesh Yadav,Kolkata Knight Riders,Kolkata Knight Riders vs Gujarat Titans,13,3,0,24,0,8,7,4,0,1,0,
Shardul Thakur,Kolkata Knight Riders,Kolkata Knight Riders vs Gujarat Titans,13,3,0,40,0,13.33,4,3,3,1,0,
Lockie Ferguson,Kolkata Knight Riders,Kolkata Knight Riders vs Gujarat Titans,13,4,0,40,0,10,8,3,2,1,1,
Sunil Narine,Kolkata Knight Riders,Kolkata Knight Riders vs Gujarat Titans,13,4,0,33,3,8.25,8,3,1,1,0,
Varun Chakravarthy,Kolkata Knight Riders,Kolkata Knight Riders vs Gujarat Titans,13,2,0,27,0,13.5,1,2,1,1,0,
Suyash Sharma,Kolkata Knight Riders,Kolkata Knight Riders vs Gujarat Titans,13,4,0,35,1,8.75,6,3,0,1,0,
Mohammed Shami,Gujarat Titans,Kolkata Knight Riders vs Gujarat Titans,13,4,0,28,1,7,10,2,1,0,0,
Josh Little,Gujarat Titans,Kolkata Knight Riders vs Gujarat Titans,13,4,0,45,1,11.25,9,4,3,3,0,
Alzarri Joseph,Gujarat Titans,Kolkata Knight Riders vs Gujarat Titans,13,4,0,27,2,6.75,14,2,2,0,0,
Yash Dayal,Gujarat Titans,Kolkata Knight Riders vs Gujarat Titans,13,4,0,69,0,17.25,4,3,8,0,0,
Rashid Khan,Gujarat Titans,Kolkata Knight Riders vs Gujarat Titans,13,4,0,37,3,9.25,6,4,1,0,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,4,0,33,1,8.25,13,6,0,3,0,
Marco Jansen,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3,1,16,2,5.33,14,2,1,1,0,
T Natarajan,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,4,0,40,0,10,10,3,3,0,0,
Washington Sundar,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,1,0,6,0,6,3,1,0,0,0,
Mayank Markande,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,4,0,15,4,3.75,15,2,0,0,0,
Umran Malik,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,4,0,32,2,8,14,3,2,1,0,
Sam Curran,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3,0,14,0,4.66,8,1,0,0,0,
Arshdeep Singh,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3,0,20,1,6.66,10,4,0,0,0,
Harpreet Brar,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3.1,0,26,0,8.21,8,5,0,0,0,
Nathan Ellis,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3,0,28,0,9.33,5,5,0,0,0,
Rahul Chahar,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3,0,28,1,9.33,8,4,1,0,0,
Mohit Rathee,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,2,0,29,0,14.5,3,3,2,0,0,
Jaydev Unadkat,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,2,0,27,0,13.5,3,2,2,1,0,
Avesh Khan,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,53,0,13.25,8,5,4,0,0,
Krunal Pandya,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,35,0,8.75,5,2,2,0,0,
